device_name,device_type,ip_address,gateway
1D-RIO-SDT-09A-3,1210,10.1.129.44,
1D-RIO-SDT-09A-4,1210,10.1.129.45,
1D-RIO-SDT-10A-1,1210,10.1.129.46,
1D-RIO-SDT-10A-2,1210,10.1.129.47,
1D-RIO-SDT-10A-3,1210,10.1.129.48,
1D-RIO-SDT-10A-4,1210,10.1.129.49,
1D-RIO-SDT-11A-1,1210,10.1.133.30,
1D-RIO-SDT-11A-2,1210,10.1.133.31,
1D-RIO-SDT-11A-3,1210,10.1.133.32,
1D-RIO-SDT-11A-4,1210,10.1.133.33,
1D-RIO-SDT-12A-1,1210,10.1.133.34,
1D-RIO-SDT-12A-2,1210,10.1.133.35,
1D-RIO-SDT-12A-3,1210,10.1.133.36,
1D-RIO-SDT-12A-4,1210,10.1.133.37,
1D-RIO-SDT-13A-1,1210,10.1.133.38,
1D-RIO-SDT-13A-2,1210,10.1.133.39,
1D-RIO-SDT-13A-3,1210,10.1.133.40,
1D-RIO-SDT-13A-4,1210,10.1.133.41,
1E-RIO-SDT-01A-1,1210,10.1.155.30,
1E-RIO-SDT-01A-2,1210,10.1.155.31,
1E-RIO-SDT-01A-3,1210,10.1.155.32,
1E-RIO-SDT-01A-4,1210,10.1.155.33,
1E-RIO-SDT-02A-1,1210,10.1.156.30,
1E-RIO-SDT-02A-2,1210,10.1.156.31,
1E-RIO-SDT-02A-3,1210,10.1.156.32,
1E-RIO-SDT-02A-4,1210,10.1.156.33,
